"game_id","population"
1987,"sona_ucsd"
1990,"sona_ucsd"
1991,"sona_ucsd"
1992,"sona_ucsd"
1993,"sona_ucsd"
1994,"sona_ucsd"
1995,"sona_ucsd"
1996,"sona_ucsd"
1998,"sona_ucsd"
1999,"sona_ucsd"
2001,"sona_ucsd"
2002,"sona_ucsd"
2003,"sona_ucsd"
2004,"sona_ucsd"
2007,"sona_ucsd"
2008,"sona_ucsd"
2010,"sona_ucsd"
2011,"sona_ucsd"
2012,"sona_ucsd"
2013,"sona_ucsd"
2014,"sona_ucsd"
2015,"sona_ucsd"
2016,"sona_ucsd"
2017,"sona_ucsd"
2018,"sona_ucsd"
2019,"sona_ucsd"
2020,"sona_ucsd"
2022,"sona_ucsd"
2023,"sona_ucsd"
2024,"sona_ucsd"
2025,"sona_ucsd"
2026,"sona_ucsd"
2027,"sona_ucsd"
2028,"sona_ucsd"
2029,"sona_ucsd"
2030,"sona_ucsd"
2031,"sona_ucsd"
2032,"sona_ucsd"
2033,"sona_ucsd"
2034,"sona_ucsd"
2035,"sona_ucsd"
2036,"sona_ucsd"
2037,"sona_ucsd"
2038,"sona_ucsd"
2039,"sona_ucsd"
2040,"sona_ucsd"
2042,"sona_ucsd"
2043,"sona_ucsd"
2044,"sona_ucsd"
2045,"sona_ucsd"
2046,"sona_ucsd"
2050,"sona_ucsd"
2051,"sona_ucsd"
2053,"sona_ucsd"
2054,"sona_ucsd"
2055,"sona_ucsd"
2056,"sona_ucsd"
2058,"sona_ucsd"
2059,"sona_ucsd"
2060,"sona_ucsd"
2061,"sona_ucsd"
2062,"sona_ucsd"
2063,"sona_ucsd"
2064,"sona_ucsd"
2065,"sona_ucsd"
2067,"sona_ucsd"
2068,"sona_ucsd"
2069,"sona_ucsd"
2070,"sona_ucsd"
2071,"sona_ucsd"
2072,"sona_ucsd"
2073,"sona_ucsd"
2074,"sona_ucsd"
2075,"sona_ucsd"
2076,"sona_ucsd"
2077,"sona_ucsd"
2078,"sona_ucsd"
2079,"sona_ucsd"
2080,"sona_ucsd"
2082,"sona_ucsd"
2083,"sona_ucsd"
2084,"sona_ucsd"
2085,"sona_ucsd"
2086,"sona_ucsd"
2087,"sona_ucsd"
2089,"sona_ucsd"
2090,"sona_ucsd"
2091,"sona_ucsd"
2092,"sona_ucsd"
2093,"sona_ucsd"
2094,"sona_ucsd"
2095,"sona_ucsd"
2096,"sona_ucsd"
2097,"sona_ucsd"
2098,"sona_ucsd"
2101,"sona_ucsd"
2102,"sona_ucsd"
2103,"sona_ucsd"
2104,"sona_ucsd"
2105,"sona_ucsd"
2106,"sona_ucsd"
2107,"sona_ucsd"
2108,"sona_ucsd"
2109,"sona_ucsd"
2110,"sona_ucsd"
2111,"sona_ucsd"
2113,"sona_ucsd"
2114,"sona_ucsd"
2115,"sona_ucsd"
2118,"sona_ucsd"
2119,"sona_ucsd"
2120,"sona_ucsd"
2121,"sona_ucsd"
2123,"sona_ucsd"
2124,"sona_ucsd"
2125,"sona_ucsd"
2126,"sona_ucsd"
2128,"sona_ucsd"
2129,"sona_ucsd"
2130,"sona_ucsd"
2131,"sona_ucsd"
2132,"sona_ucsd"
2133,"sona_ucsd"
2134,"sona_ucsd"
2135,"sona_ucsd"
2136,"sona_ucsd"
2138,"sona_ucsd"
2139,"sona_ucsd"
2140,"sona_ucsd"
2141,"sona_ucsd"
2142,"sona_ucsd"
2143,"sona_ucsd"
2144,"sona_ucsd"
2145,"sona_ucsd"
2147,"sona_ucsd"
2148,"sona_ucsd"
2150,"sona_ucsd"
2151,"sona_ucsd"
2152,"sona_ucsd"
2153,"sona_ucsd"
2154,"sona_ucsd"
2155,"sona_ucsd"
2156,"sona_ucsd"
2157,"sona_ucsd"
2158,"sona_ucsd"
2159,"sona_ucsd"
2160,"sona_ucsd"
2161,"sona_ucsd"
2162,"sona_ucsd"
2165,"sona_ucsd"
2166,"sona_ucsd"
2167,"sona_ucsd"
2168,"sona_ucsd"
2169,"sona_ucsd"
2170,"sona_ucsd"
2171,"sona_ucsd"
2172,"sona_ucsd"
2173,"sona_ucsd"
2175,"sona_ucsd"
2176,"sona_ucsd"
2177,"sona_ucsd"
2179,"sona_ucsd"
2180,"sona_ucsd"
2181,"sona_ucsd"
2182,"sona_ucsd"
2183,"sona_ucsd"
2184,"sona_ucsd"
2185,"sona_ucsd"
2186,"sona_ucsd"
2187,"sona_ucsd"
2188,"sona_ucsd"
2190,"sona_ucsd"
2191,"sona_ucsd"
2192,"sona_ucsd"
2193,"sona_ucsd"
2195,"sona_ucsd"
2196,"sona_ucsd"
2197,"sona_ucsd"
2198,"sona_ucsd"
2199,"sona_ucsd"
2200,"sona_ucsd"
2202,"sona_ucsd"
2203,"sona_ucsd"
2205,"sona_ucsd"
2207,"sona_ucsd"
2209,"sona_ucsd"
2210,"sona_ucsd"
2212,"sona_ucsd"
2213,"sona_ucsd"
2214,"sona_ucsd"
2215,"sona_ucsd"
2216,"sona_ucsd"
2217,"sona_ucsd"
2218,"sona_ucsd"
2220,"sona_ucsd"
2221,"sona_ucsd"
2222,"sona_ucsd"
2223,"sona_ucsd"
2224,"sona_ucsd"
2228,"sona_ucsd"
2230,"sona_ucsd"
2231,"sona_ucsd"
2426,"prolific"
2428,"prolific"
2430,"prolific"
2431,"prolific"
2433,"prolific"
2434,"prolific"
2436,"prolific"
2437,"prolific"
2438,"prolific"
2439,"prolific"
2440,"prolific"
2441,"prolific"
2443,"prolific"
2444,"prolific"
2445,"prolific"
2446,"prolific"
2447,"prolific"
2448,"prolific"
2449,"prolific"
2450,"prolific"
2451,"prolific"
2452,"prolific"
2453,"prolific"
2454,"prolific"
2455,"prolific"
2456,"prolific"
2458,"prolific"
2459,"prolific"
2460,"prolific"
2461,"prolific"
2462,"prolific"
2463,"prolific"
2464,"prolific"
2465,"prolific"
2466,"prolific"
2467,"prolific"
2468,"prolific"
2469,"prolific"
2470,"prolific"
2471,"prolific"
2472,"prolific"
2473,"prolific"
2474,"prolific"
2475,"prolific"
2476,"prolific"
2477,"prolific"
2478,"prolific"
2480,"prolific"
2482,"prolific"
2483,"prolific"
2484,"prolific"
2485,"prolific"
2486,"prolific"
2487,"prolific"
2488,"prolific"
2489,"prolific"
2490,"prolific"
2491,"prolific"
2492,"prolific"
2493,"prolific"
2494,"prolific"
2495,"prolific"
2496,"prolific"
2497,"prolific"
2498,"prolific"
2499,"prolific"
2500,"prolific"
2501,"prolific"
2502,"prolific"
2503,"prolific"
2504,"prolific"
2505,"prolific"
2506,"prolific"
2507,"prolific"
2508,"prolific"
2509,"prolific"
2510,"prolific"
2511,"prolific"
2512,"prolific"
2513,"prolific"
2514,"prolific"
2515,"prolific"
2516,"prolific"
2518,"prolific"
2519,"prolific"
2520,"prolific"
2521,"prolific"
2522,"prolific"
2523,"prolific"
2524,"prolific"
2526,"prolific"
2527,"prolific"
2528,"prolific"
2530,"prolific"
2531,"prolific"
2533,"prolific"
2534,"prolific"
2535,"prolific"
2537,"prolific"
2538,"prolific"
2539,"prolific"
2541,"prolific"
2542,"prolific"
2543,"prolific"
2544,"prolific"
2545,"prolific"
2546,"prolific"
2547,"prolific"
2548,"prolific"
2549,"prolific"
2550,"prolific"
2551,"prolific"
2552,"prolific"
2553,"prolific"
2554,"prolific"
2555,"prolific"
2556,"prolific"
2557,"prolific"
2558,"prolific"
2559,"prolific"
2560,"prolific"
2561,"prolific"
2563,"prolific"
2564,"prolific"
2565,"prolific"
2566,"prolific"
2567,"prolific"
2568,"prolific"
2570,"prolific"
2571,"prolific"
2572,"prolific"
2574,"prolific"
2575,"prolific"
2576,"prolific"
2578,"prolific"
2580,"prolific"
2581,"prolific"
2582,"prolific"
2583,"prolific"
2584,"prolific"
2585,"prolific"
2586,"prolific"
2587,"prolific"
2588,"prolific"
2589,"prolific"
2590,"prolific"
2591,"prolific"
2593,"prolific"
2594,"prolific"
2595,"prolific"
2596,"prolific"
2597,"prolific"
2598,"prolific"
2599,"prolific"
2600,"prolific"
2601,"prolific"
2602,"prolific"
2603,"prolific"
2604,"prolific"
2605,"prolific"
2606,"prolific"
2608,"prolific"
2609,"prolific"
2610,"prolific"
2611,"prolific"
2612,"prolific"
2614,"prolific"
2615,"prolific"
2616,"prolific"
2617,"prolific"
2619,"prolific"
2620,"prolific"
2621,"prolific"
2623,"prolific"
2624,"prolific"
2625,"prolific"
2626,"prolific"
2627,"prolific"
2628,"prolific"
2629,"prolific"
2630,"prolific"
2631,"prolific"
2632,"prolific"
2634,"prolific"
2635,"prolific"
2636,"prolific"
2637,"prolific"
2638,"prolific"
2639,"prolific"
2640,"prolific"
2641,"prolific"
2642,"prolific"
2643,"prolific"
2644,"prolific"
2645,"prolific"
2646,"prolific"
2647,"prolific"
2648,"prolific"
2649,"prolific"
2650,"prolific"
2651,"prolific"
2652,"prolific"
2653,"prolific"
2654,"prolific"
2655,"prolific"
2656,"prolific"
2657,"prolific"
2658,"prolific"
2659,"prolific"
2661,"prolific"
2662,"prolific"
2663,"prolific"
2664,"prolific"
2665,"prolific"
2666,"prolific"
2667,"prolific"
2668,"prolific"
2669,"prolific"
2670,"prolific"
2671,"prolific"
2672,"prolific"
2674,"prolific"
2675,"prolific"
2676,"prolific"
2677,"prolific"
2678,"prolific"
2680,"prolific"
2681,"prolific"
2682,"prolific"
2684,"prolific"
2685,"prolific"
2686,"prolific"
2687,"prolific"
2688,"prolific"
2689,"prolific"
2690,"prolific"
2691,"prolific"
2693,"prolific"
2695,"prolific"
2696,"prolific"
2697,"prolific"
2698,"prolific"
2699,"prolific"
2700,"prolific"
2701,"prolific"
2702,"prolific"
2703,"prolific"
2704,"prolific"
2705,"prolific"
2706,"prolific"
2707,"prolific"
2708,"prolific"
2709,"prolific"
2710,"prolific"
2711,"prolific"
2713,"prolific"
2714,"prolific"
2715,"prolific"
2716,"prolific"
2717,"prolific"
2718,"prolific"
2720,"prolific"
2721,"prolific"
2723,"prolific"
2724,"prolific"
2726,"prolific"
2727,"prolific"
2728,"prolific"
2729,"prolific"
2731,"prolific"
2732,"prolific"
2733,"prolific"
2734,"prolific"
2735,"prolific"
2736,"prolific"
2737,"prolific"
2738,"prolific"
2740,"prolific"
2741,"prolific"
2742,"prolific"
2743,"prolific"
2744,"prolific"
2745,"prolific"
2746,"prolific"
2747,"prolific"
2748,"prolific"
2749,"prolific"
2750,"prolific"
2751,"prolific"
2752,"prolific"
2753,"prolific"
2754,"prolific"
2755,"prolific"
2756,"prolific"
2757,"prolific"
2758,"prolific"
2760,"prolific"
2761,"prolific"
2762,"prolific"
2763,"prolific"
2765,"prolific"
2766,"prolific"
2767,"prolific"
2768,"prolific"
2769,"prolific"
2770,"prolific"
2772,"prolific"
2773,"prolific"
2774,"prolific"
2775,"prolific"
2776,"prolific"
2777,"prolific"
2778,"prolific"
2779,"prolific"
2780,"prolific"
2781,"prolific"
2782,"prolific"
2783,"prolific"
2784,"prolific"
2785,"prolific"
2786,"prolific"
2787,"prolific"
2788,"prolific"
2789,"prolific"
2790,"prolific"
2791,"prolific"
2793,"prolific"
2794,"prolific"
2795,"prolific"
2796,"prolific"
2797,"prolific"
2798,"prolific"
2799,"prolific"
2800,"prolific"
2802,"prolific"
2803,"prolific"
2804,"prolific"
2805,"prolific"
2806,"prolific"
2807,"prolific"
2809,"prolific"
2810,"prolific"
2812,"prolific"
2813,"prolific"
2814,"prolific"
2823,"prolific"
2824,"prolific"
2825,"prolific"
2826,"prolific"
2827,"prolific"
2828,"prolific"
2829,"prolific"
2830,"prolific"
2831,"prolific"
2832,"prolific"
2834,"prolific"
2835,"prolific"
2836,"prolific"
2838,"prolific"
2839,"prolific"
2840,"prolific"
2841,"prolific"
2842,"prolific"
2843,"prolific"
2845,"prolific"
2846,"prolific"
2847,"prolific"
2849,"prolific"
2850,"prolific"
2852,"prolific"
2853,"prolific"
2855,"prolific"
2856,"prolific"
2857,"prolific"
2859,"prolific"
2860,"prolific"
2861,"prolific"
2862,"prolific"
2863,"prolific"
2864,"prolific"
2865,"prolific"
2866,"prolific"
2867,"prolific"
2868,"prolific"
2869,"prolific"
2870,"prolific"
2871,"prolific"
2872,"prolific"
2873,"prolific"
2874,"prolific"
2875,"prolific"
2876,"prolific"
2877,"prolific"
2878,"prolific"
2879,"prolific"
2880,"prolific"
2881,"prolific"
2882,"prolific"
2884,"prolific"
2885,"prolific"
2886,"prolific"
2887,"prolific"
2888,"prolific"
2889,"prolific"
2891,"prolific"
2892,"prolific"
2893,"prolific"
2894,"prolific"
2895,"prolific"
2896,"prolific"
2897,"prolific"
2898,"prolific"
2899,"prolific"
2900,"prolific"
2901,"prolific"
2902,"prolific"
2903,"prolific"
2904,"prolific"
2905,"prolific"
2906,"prolific"
2907,"prolific"
2908,"prolific"
2909,"prolific"
2911,"prolific"
2912,"prolific"
2913,"prolific"
2914,"prolific"
2915,"prolific"
2916,"prolific"
2917,"prolific"
2918,"prolific"
2919,"prolific"
2920,"prolific"
2921,"prolific"
2922,"prolific"
2923,"prolific"
2924,"prolific"
2926,"prolific"
2927,"prolific"
2928,"prolific"
2929,"prolific"
2930,"prolific"
2931,"prolific"
2932,"prolific"
2933,"prolific"
2934,"prolific"
2935,"prolific"
2936,"prolific"
2937,"prolific"
2938,"prolific"
2939,"prolific"
2940,"prolific"
2943,"prolific"
2944,"prolific"
2945,"prolific"
2946,"prolific"
2947,"prolific"
2948,"prolific"
2949,"prolific"
2950,"prolific"
2951,"prolific"
2952,"prolific"
2953,"prolific"
2954,"prolific"
2955,"prolific"
2956,"prolific"
2958,"prolific"
2959,"prolific"
2960,"prolific"
2961,"prolific"
2965,"prolific"
2966,"prolific"
2967,"prolific"
2968,"prolific"
2969,"prolific"
2970,"prolific"
2971,"prolific"
2972,"prolific"
2973,"prolific"
2975,"prolific"
2976,"prolific"
2977,"prolific"
2978,"prolific"
2979,"prolific"
2980,"prolific"
2981,"prolific"
2982,"prolific"
2983,"prolific"
2984,"prolific"
2985,"prolific"
2986,"prolific"
2987,"prolific"
2988,"prolific"
2989,"prolific"
2990,"prolific"
2991,"prolific"
2992,"prolific"
2994,"prolific"
2995,"prolific"
2996,"prolific"
2998,"prolific"
2999,"prolific"
3001,"prolific"
3003,"prolific"
3004,"prolific"
3005,"prolific"
3006,"prolific"
3007,"prolific"
3008,"prolific"
3009,"prolific"
3010,"prolific"
3011,"prolific"
3012,"prolific"
3013,"prolific"
3014,"prolific"
3015,"prolific"
3016,"prolific"
3018,"prolific"
3019,"prolific"
3020,"prolific"
3022,"prolific"
3023,"prolific"
3024,"prolific"
3026,"prolific"
3027,"prolific"
3028,"prolific"
3029,"prolific"
3031,"prolific"
3032,"prolific"
3033,"prolific"
3034,"prolific"
3035,"prolific"
3036,"prolific"
3037,"prolific"
3038,"prolific"
3039,"prolific"
3040,"prolific"
3041,"prolific"
3044,"prolific"
3045,"prolific"
3046,"prolific"
3048,"prolific"
3049,"prolific"
3050,"prolific"
3051,"prolific"
3052,"prolific"
3053,"prolific"
3054,"prolific"
3055,"prolific"
3056,"prolific"
3057,"prolific"
3058,"prolific"
3059,"prolific"
3060,"prolific"
3061,"prolific"
3062,"prolific"
3063,"prolific"
3064,"prolific"
3065,"prolific"
3067,"prolific"
3068,"prolific"
3069,"prolific"
3070,"prolific"
3071,"prolific"
3072,"prolific"
3073,"prolific"
3075,"prolific"
3077,"prolific"
3078,"prolific"
3080,"prolific"
3083,"prolific"
3084,"prolific"
3086,"prolific"
3087,"prolific"
3088,"prolific"
3089,"prolific"
